,country,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969,1968,1967,1966,1965,1964,1963,1962,1961,1960
24,Kazakhstan,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.3,0.3,0.3,0.4,0.3,0.2,0.4,0.3,0.4,0.3,0.2,0.2,0.4,0.3,0.5,0.8,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Kyrgyzstan,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.3,0.3,0.1,0.3,0.2,0.4,0.7,0.6,0.7,0.7,0.7,0.8,1.8,,,,,,,,,,,,,,,,,,,,,,,,,
26,Latvia,1.7,1.6,1.4,1.3,1.2,1.2,1.1,1.2,1.1,1.1,1.0,1.1,1.2,1.1,0.9,1.0,1.8,1.5,1.4,1.6,1.3,1.1,0.8,1.1,1.0,1.6,1.6,1.3,1.3,1.4,1.4,1.1,1.1,1.2,2.3,2.6,2.6,3.0,3.2,3.4,,,,,,,,,,,,,,,,,,,,
27,Lithuania,0.9,0.8,0.8,1.1,1.1,1.5,1.5,1.5,1.4,1.1,1.1,1.0,1.0,2.0,1.6,2.4,2.2,2.1,1.9,2.1,1.1,1.0,0.9,1.3,0.6,0.3,0.4,0.3,0.6,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Luxembourg,4.7,4.7,5.0,5.0,5.1,5.1,5.1,5.3,5.3,5.3,5.3,5.3,5.4,5.4,5.4,5.5,5.7,5.8,5.9,5.9,5.4,5.5,5.6,5.6,5.8,5.8,5.9,6.0,6.1,6.7,7.0,7.0,7.0,7.0,7.4,7.6,7.9,8.0,8.1,8.3,8.4,8.6,9.1,9.1,9.3,9.1,9.3,9.3,9.3,9.2,9.5,9.7,9.7,9.8,10.0,10.3,10.7,10.9,11.2,
29,Malta,2.3,2.5,2.6,2.3,2.2,2.0,2.1,2.1,2.0,2.2,2.5,2.3,2.8,4.2,2.5,2.5,2.5,1.3,1.1,0.9,2.5,2.5,2.1,2.2,2.2,2.1,2.0,2.0,2.0,1.9,1.9,1.9,1.2,1.5,1.2,1.3,1.1,0.8,1.0,0.5,0.6,1.0,0.3,1.4,0.3,0.7,0.3,0.0,0.3,0.8,0.1,0.2,0.1,0.1,0.1,0.0,0.0,0.0,0.5,
30,Monaco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Montenegro,2.7,2.7,2.5,2.5,2.0,2.1,2.9,2.4,2.4,3.2,3.2,2.9,2.0,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Netherlands,2.9,2.9,2.9,2.9,2.9,3.0,2.9,3.2,3.2,3.2,3.2,3.1,3.2,3.2,3.1,3.0,2.8,2.8,2.8,2.8,2.9,2.9,2.8,2.6,2.6,2.5,2.5,2.6,2.5,2.3,2.5,2.5,2.5,2.6,2.5,2.6,2.4,2.6,2.3,2.3,1.7,1.8,1.7,1.7,1.5,1.5,1.3,1.2,0.9,0.8,0.7,0.7,0.6,0.5,0.5,0.5,0.4,0.4,0.4,
33,North Macedonia,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.1,1.1,1.1,1.1,0.9,0.9,1.5,1.5,1.7,1.2,0.9,0.8,1.0,1.1,1.1,1.1,1.2,1.8,1.7,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Norway,2.2,2.2,2.2,2.2,2.2,2.3,2.3,2.3,2.3,2.3,2.3,2.2,2.1,2.0,2.0,1.9,1.8,1.8,1.6,1.6,1.5,1.2,1.3,1.1,1.0,1.0,0.9,0.9,0.9,1.0,1.0,1.0,0.9,0.8,0.8,0.7,0.7,0.6,0.7,0.8,0.5,0.4,0.5,0.5,0.5,0.5,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,
35,Poland,0.9,0.9,0.9,0.8,0.9,0.9,0.8,0.8,0.9,1.0,1.0,1.2,1.3,1.3,1.2,1.5,1.6,1.6,1.6,1.8,1.9,1.9,1.8,1.5,1.0,1.0,1.1,1.1,1.3,1.1,1.2,1.3,1.3,1.2,1.3,1.2,1.0,1.2,1.6,1.5,1.4,1.4,1.3,1.2,1.0,1.0,1.0,1.0,1.0,0.9,0.9,0.8,0.7,0.7,0.8,0.8,0.8,0.9,0.9,
36,Portugal,6.0,6.0,6.0,6.0,6.0,6.0,5.2,5.3,6.4,6.4,6.5,6.1,6.0,6.3,6.4,6.4,6.5,6.4,6.5,6.5,6.7,7.2,7.2,7.5,8.2,8.4,8.6,8.8,9.1,9.3,9.5,8.0,8.2,9.8,10.9,13.5,13.2,14.0,12.5,11.5,11.2,10.8,10.5,14.3,16.9,15.5,16.3,13.7,14.2,18.4,12.7,17.4,16.1,16.0,18.7,18.6,17.8,14.5,14.1,
37,Republic of Moldova,3.6,3.6,3.4,3.4,2.7,2.8,3.2,3.5,3.7,3.0,2.7,3.1,2.9,2.2,5.1,0.8,0.7,0.8,1.6,2.2,2.4,2.0,2.9,4.8,5.3,7.8,7.3,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Romania,3.4,3.4,3.1,2.5,2.7,3.2,3.1,3.0,3.0,3.2,3.3,3.7,3.4,3.0,2.3,4.3,3.3,3.9,3.7,3.4,3.5,3.4,4.7,3.8,3.7,3.3,3.9,3.1,3.3,3.2,2.4,4.1,4.1,4.1,4.1,4.1,4.1,4.2,4.3,4.3,5.3,4.9,4.5,4.4,4.9,5.3,5.3,4.3,4.4,4.5,4.4,4.3,4.0,4.4,4.4,4.4,4.5,4.5,3.7,
39,Russian Federation,1.0,1.0,1.0,0.9,0.8,0.8,0.8,1.0,1.0,1.1,1.3,1.3,1.2,1.0,1.0,1.0,0.9,0.8,0.8,0.7,1.0,0.8,0.8,0.8,0.8,0.7,0.5,0.5,0.8,0.9,0.9,0.9,0.8,0.8,1.6,2.1,1.8,1.8,1.8,2.0,2.0,2.0,1.9,1.9,1.9,1.9,2.3,2.4,2.4,2.3,2.1,1.6,1.4,1.3,1.1,1.1,1.0,,,
40,San Marino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
