,country,Deaths - Alcohol use disorders - Sex: Both - Age: All Ages (Number),Unnamed: 0,Wine mean
0,Albania,11.93229306302292,0,0.5966101694915253
1,Andorra,1.4244887516227818,1,5.095238095238095
2,Armenia,89.31148510945353,2,0.5580645161290323
3,Austria,369.0104621776979,3,4.39344262295082
4,Azerbaijan,271.27907523813093,4,0.5096774193548386
5,Belarus,2580.928058914786,5,0.7878787878787877
6,Belgium,388.6375086436556,6,3.0948275862068977
7,Bosnia and Herzegovina,216.45105913083995,7,0.6516129032258066
8,Bulgaria,154.32965500175268,8,2.8310344827586205
9,Croatia,254.4036077658318,9,5.352941176470588
10,Cyprus,6.534597714893374,10,2.2333333333333343
11,Czechia,378.1357742569903,11,2.401666666666666
12,Denmark,645.4416201428377,12,3.005
13,Estonia,291.022527307255,13,1.6548387096774186
14,Finland,586.9473155407284,14,1.398333333333334
15,France,3352.950943601312,15,11.248333333333337
16,Georgia,81.50332960736974,16,3.190322580645162
17,Germany,5968.074290437505,17,3.350000000000001
18,Greece,35.33561838106592,18,4.655172413793101
19,Hungary,800.6200470628955,19,4.526666666666668
20,Iceland,6.547261486681472,20,1.4066666666666667
21,Ireland,86.43098683487283,21,1.734482758620689
22,Israel,63.48907276069694,22,1.0650000000000004
23,Italy,386.3293161151902,23,10.113333333333337
24,Kazakhstan,1256.3882887831485,24,1.0322580645161292
25,Kyrgyzstan,451.6253673013197,25,1.0250000000000008
26,Latvia,385.66319472282896,26,2.0951219512195123
27,Lithuania,631.1256914577747,27,2.029032258064516
28,Luxembourg,21.09919735779968,28,7.506666666666669
29,Malta,3.222852226475774,29,1.9099999999999997
30,Montenegro,11.920290270794345,31,4.493333333333334
31,Netherlands,337.7406882596088,32,2.6966666666666663
32,North Macedonia,20.959726470555506,33,2.26896551724138
33,Norway,262.17289681958306,34,1.686666666666667
34,Poland,3747.0477669601178,35,1.7149999999999996
35,Portugal,249.79301420355952,36,10.645
36,Romania,1157.034324515139,38,4.416666666666668
37,Serbia,420.339021724172,41,4.047619047619048
38,Slovakia,184.81288444300645,42,2.925
39,Slovenia,144.845825115279,43,7.297500000000001
40,Spain,429.7713992753698,44,6.903389830508475
41,Sweden,445.0803552755872,45,2.618333333333333
42,Switzerland,266.80623788948736,46,6.7254545454545465
43,Tajikistan,172.4264915158385,47,1.775862068965518
44,Turkey,228.80295191861592,48,0.9216666666666684
45,Turkmenistan,177.02901180509917,49,2.7689655172413787
46,Ukraine,10664.066216204332,50,1.9690476190476187
47,United Kingdom,1591.5783010842115,51,2.703333333333336
48,Uzbekistan,551.1431085417296,52,2.0379310344827597
