,Unnamed: 0,Latest dataavailable,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969,1968,1967,1966,1965,1964,1963,1962,1961,1960
22,Israel,1.2,1.2,1.1,1.1,1.1,1.1,1.1,1.2,1.3,1.2,1.3,1.3,1.2,1.1,1.2,1.3,1.3,1.4,1.3,1.3,1.2,0.8,0.9,0.8,0.5,0.2,0.5,0.7,0.5,0,0.4,0.7,0.7,0.7,0.7,0.8,0.9,1,0.9,1,1.1,1.1,1.5,2,2,2.2,1.8,1.8,1.7,1.8,1.8,1.8,1.6,1.5,1.4,1.6,1.5,1.4,1.5,1.4,-
23,Italy,0.8,0.8,0.8,0.8,0.7,0.7,0.9,0.8,0.8,0.8,0.8,0.8,0.8,0.8,1,1.1,1.1,1.1,1.1,1.1,1.1,0.6,0.7,0.7,0.7,0.9,1.1,1.1,1.2,1.2,1.2,1.3,1.5,1.5,1.5,1.6,1.6,1.6,1.8,1.8,2.4,2.6,2.5,2.6,2.5,2.4,2.8,2.9,2.5,2.4,2.4,2.3,2.1,2.1,2,1.9,2.1,2,1.7,1.6,-
24,Kazakhstan,1.1,1.1,1.5,1.4,1.5,1.4,1.6,1.9,1.8,1.6,1.9,1.6,1.8,2.1,4.4,4.4,4.5,4.5,4.4,4.4,4.6,2.8,3.1,2.7,2.5,4.3,7.7,9.3,9.4,10.6,9.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
25,Kyrgyzstan,3.4,3.4,3.7,4.1,4.6,4.6,5.2,5.1,5.1,5,5.1,5.4,6.2,6.1,6,5.8,5.9,5.7,5.3,5.2,5,1.3,2.7,2.1,1.9,1.2,2.4,1.3,3.3,3.5,3.3,2.9,2.1,1.6,2,4.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
26,Latvia,5.3,5.3,5.3,5.1,4.5,4.1,4,4,3.8,3.6,3.6,3.9,5.8,5.9,4.5,4.6,3.7,3.3,3,3,3.5,5.5,6.2,5.9,5.7,6.3,6.7,5.1,4.4,4.3,4.3,4.2,3.5,3.3,5.2,6.5,7.5,7.1,6.8,6.9,6.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
27,Lithuania,5,5,4.9,5,5.5,5.8,5.8,5.8,5.7,5.5,4.7,5,5.8,5.8,4.9,4.7,4.3,3.7,3.6,3.7,3.3,2.2,2.4,3.9,3.8,3.4,1.2,1.3,1.6,4.9,4.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
28,Luxembourg,2.1,2.1,2.2,2.2,2.3,2.3,2.3,2.3,2.3,2.4,2.4,2.4,2.4,2.4,2.5,2.5,2.6,2.5,2.6,2.6,2.6,2.5,2.7,2.7,2.8,2.8,2.8,2.9,2.8,2.8,2.8,2.7,2.7,2.7,2.7,2.8,2.7,2.9,3,3.1,3.4,3.7,3.5,3.4,3.6,3.5,3.3,3.5,3.4,3.6,3.5,3.3,3.1,3.1,3.2,3.4,3.2,3.2,3.1,2.8,-
29,Malta,2.5,2.5,2.3,2.2,2.1,2.1,2,2.1,1.9,1.8,1.7,1.5,1.5,1.6,1.6,1.5,1.9,1.8,1.8,1.8,1.8,1.6,1.5,1.6,2,2,2.1,2.1,2.1,2.1,2.2,2.2,2.2,1.4,2,1.8,1.7,1.4,2,2,2.9,3.2,3,2.8,2,2,1.8,1.9,1.4,1.4,1.4,1.2,1.1,1.3,1.7,1,1.2,0.7,0.6,0.6,-
30,Monaco,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
31,Montenegro,3.2,3.2,3.1,3.1,2.9,2.8,2.7,2.6,2.5,2.4,2.4,2.3,2.3,2.3,2.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
32,Netherlands,1.4,1.4,1.4,1.4,1.4,1.3,1.3,1.5,1.5,1.5,1.5,1.5,1.6,1.6,1.6,1.6,1.7,1.8,2,2.1,2.3,2.1,2,2.1,2.1,2.1,2.2,2.3,2.3,2.5,2.4,2.4,2.6,2.5,2.7,2.8,3,3.3,3.3,3.2,3.5,4.4,3.9,3.8,3.3,4.6,3.7,3.5,3.1,2.9,2.8,2.6,2.4,2.3,2,2.6,2.1,2,1.9,1.7,-
33,North Macedonia,0.9,0.9,0.9,0.9,0.9,0.8,0.8,0.8,0.8,0.8,0.9,0.9,0.9,0.9,0.9,0.8,1.5,1.5,1.5,1.5,1.6,2.1,3.1,2.8,2.5,3.5,3.5,1,2.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
34,Norway,1,1,1,1,1,1,1,1.1,1.1,1.2,1.3,1.3,1.3,1.4,1.3,1.3,1.3,1.2,1.1,1,1.1,1.1,1,1,1,1,1,1,1,1.1,1.2,1.3,1.5,1.6,1.6,1.8,1.6,1.6,1.6,2.1,2.5,2.3,2,2.5,2.5,2.4,2.4,2.2,2.2,2.1,2.1,2,2,1.9,1.8,1.8,1.7,1.8,1.8,1.8,-
35,Poland,4.4,4.4,3.9,3.9,3.8,3.8,3.8,4.2,3.5,3.8,3.8,3.8,4,3.6,3.2,3,3,2.9,2.1,2.1,2.5,2.6,3,3.6,3.7,4.5,5,5.2,4.6,4.9,5.1,6.1,6.2,6.2,6,5.5,5.3,5.4,5.5,7.7,7.2,7.2,7.4,6.9,5.9,5.2,5.5,5.2,5.2,4.7,4.5,4.7,4.6,4.3,4,3.8,3.5,3.7,3.6,3.6,-
36,Portugal,1.3,1.3,1.3,1.3,1.3,1.3,1.4,1.4,1.4,1.4,1.4,1.6,1.9,2,2,2,2.1,2.1,2.5,2.5,2.4,1.8,0.7,0.7,0.7,0.7,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.8,0.7,0.5,0.4,0.4,0.4,0.4,0.4,0.5,0.6,0.5,0.4,0.5,0.5,0.5,0.6,0.6,0.5,0.3,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.6,-
37,Republic of Moldova,2.3,2.3,2.3,2.3,2.1,2.3,2.8,3.1,2.5,2.1,1.7,1.6,2.1,2.5,3.3,3.3,4.9,3.9,3.6,3.5,3.5,11.6,14.4,13.1,11.3,10,8.2,3.8,1.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
38,Romania,2.3,2.3,2.3,1.8,1.8,1.5,1.4,1.4,1.3,1.5,2,2.5,3,2,2.3,3.2,3.2,4.6,5.8,5,2.2,1.1,1.1,1.9,2,2,1.9,2.4,2.9,2.9,2.9,2.6,2.6,2.6,2.6,2.6,2.7,2.7,2.7,2.7,3.1,3.1,3,2.8,2.7,2.5,3,3.1,3,2.8,2.6,2.4,2.1,2,1.8,1.8,1.7,1.6,1.6,1.2,-
39,Russian Federation,3.2,3.2,3.2,3.1,3.4,3.5,4,4.7,5.3,5.4,5.4,5.8,6.2,6.3,6.7,6.9,7.1,7.3,7.2,7.1,7.3,8,7.4,6.9,6.9,8.9,7,6.2,5,5.3,4.7,2.6,2.3,2.1,2.5,4,4.8,4.2,4.2,4.2,4.2,4.2,4.2,4.3,4.3,4.3,4.3,4.4,4.5,4.9,5.2,5.2,5.1,4.9,4.6,4.6,4.4,4.3,-,-,-
40,San Marino,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
41,Serbia,2.4,2.4,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.5,2.6,2.6,2.5,2.4,2.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
42,Slovakia,4.1,4.1,4.4,4.1,4.4,4.3,4.1,4.1,4.4,4.5,4.6,4.6,5.6,4.9,4.3,5.4,4.2,3.6,4.3,4.6,4.9,5,4.9,5.2,5.1,5,5,4.1,4.4,4.8,4.8,4.3,4.2,4.3,4.3,4.5,4.2,4.3,4.8,4.5,4.4,4.2,4.6,4.5,3.9,4,3.5,3.4,3.1,3.4,3.1,2.9,2.4,2,1.8,1.5,1.3,1.4,1.5,1.4,-
43,Slovenia,1.3,1.3,1.2,0.9,0.8,0.9,0.8,0.9,0.9,0.9,0.9,0.9,1.2,1.2,1.1,1.1,1.1,1.6,1.7,1.9,1.8,1.8,2.1,0.8,1.3,1.8,2.6,2.5,2.5,2.3,2.4,2.7,3.3,3.2,3.6,3.1,3.7,3.7,4,3.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
44,Spain,2.3,2.3,2.3,2.3,2.5,2.3,2.2,2.2,2.2,2.4,2.5,2.7,2.9,3.2,3.3,3.3,3.4,3.1,2.6,3.9,3.3,2.8,3,3.1,2.9,3,3,3,3.3,3.3,3.4,3.5,3.5,3.7,3.7,3.6,3.7,4,4,4.3,4.4,4.2,4.1,4,3.9,3.7,3.6,3.6,3.6,3.5,3.2,3.5,3.2,3.2,4.1,3.4,2.9,2.5,3.1,-,-
45,Sweden,1,1,1,1,1,1,1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.3,1.4,1.4,1.3,1.2,1.3,1.3,1.4,1.6,1.8,1.9,2,2.1,2.1,2.3,2.3,2.4,2.6,2.5,2.5,2.8,3,3,3.4,3.8,3.8,3.7,3.9,3.7,3.7,3.4,3.3,3.2,3.3,3.3,3.2,3.4,3.4,3.4,3.3,3,3.2,3.1,-
46,Switzerland,1.8,1.8,1.6,1.8,1.8,1.8,1.8,1.8,1.9,1.9,1.8,1.9,1.9,1.9,1.9,1.8,1.9,1.9,1.9,1.9,1.9,1.7,1.7,1.8,1.8,1.8,2,1.9,1.9,2.2,2.2,2.3,2.4,2.4,2.5,2.7,2.6,2.7,2.7,2.6,2.5,2.6,2.6,2.5,2.4,2.5,2.8,3,2.8,2.7,2.6,2.7,2.5,2.3,2.4,-,-,-,-,-,-
47,Tajikistan,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.4,0.4,0.3,0.4,0.4,0.2,0.3,0.3,0.3,0.4,0.4,0.5,0.5,0.5,0.1,0.2,0.5,1.4,1.3,0.8,0.5,1.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
48,Turkey,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.7,0.8,0.8,0.6,0.6,0.6,0.4,0.6,0.6,0.6,0.6,0.6,0.5,0.3,0.3,0.5,0.5,0.5,0.5,0.7,0.7,0.8,0.7,0.4,0.4,0.4,0.4,0.3,0.2,0.3,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.4,0.3,-
49,Turkmenistan,1,1,1,1.1,1.2,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.2,1.2,1.2,1.3,1.3,1.3,1.3,1.3,1.3,0.1,0.2,0,0.3,0.9,0.4,0.1,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
50,Ukraine,2.9,2.9,2.6,2.4,3,3.1,4.2,5,4.8,4.9,3.9,5.1,5.2,4,3.9,3.7,3.8,4.3,4.8,5.4,5.3,2.5,2.5,2.8,2.1,2.5,3,3.9,3.6,3.4,3.2,2.7,1.9,1.7,2,3.1,3.1,2.9,2.8,3.3,3.6,-,-,-,-,3.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
51,United Kingdom,2.4,2.4,2.4,2.3,2.2,2.1,2,2,2.1,2.1,2.2,2.1,2.3,2.3,2.3,2.5,2.5,2.5,2.3,2,2,1.8,1.8,1.8,1.8,1.9,1.8,1.9,1.9,2.1,2.2,2.2,2.2,2,2.1,2.1,2,2,2,2.1,2.2,2.4,2.2,1.8,2.1,1.9,2,1.8,1.5,1.3,1.2,1.1,1.1,1.1,1.1,1.1,1.2,1.1,1,1,-
52,Uzbekistan,2.2,2.2,2.2,2.5,2.1,2.2,2.2,1.7,1.7,1.5,1.5,0.8,0.8,1,1.1,1.1,2.2,2.3,2.3,2.4,2.5,1,1,0.9,0.9,0.9,1.1,0.3,0.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
53,WHO European Region,2.2,2.2,2.2,2.1,2.2,2.2,2.4,2.5,2.6,2.7,2.7,2.8,3,2.9,3,3.1,3.2,3.3,3.3,3.3,3.3,3,3,3,3,3.5,3.3,3.3,3.1,3.2,3,2.7,2.6,2.5,2.7,3,3.1,3.1,3.1,3.3,3.4,3.5,3.4,3.4,3.4,3.3,3.3,3.3,3.2,3.3,3.2,-,-,-,-,-,-,-,-,-,-
54,Members of the European Union,2.2,2.2,2.2,2.2,2.2,2.1,2.1,2.2,2.1,2.2,2.3,2.3,2.5,2.5,2.4,2.5,2.5,2.5,2.5,2.5,2.4,2.1,2.2,2.4,2.4,2.5,2.6,2.6,2.6,2.8,2.8,2.9,2.9,2.9,3,3,2.9,3,3.1,3.4,3.6,3.7,3.6,3.4,3.4,3.3,3.2,3.2,3.1,3,2.9,-,-,-,-,-,-,-,-,-,-
55,Members of the EU before May 2004 (EU15),1.9,1.9,1.9,1.9,1.9,1.8,1.8,1.8,1.9,1.9,2,2,2.1,2.2,2.1,2.2,2.3,2.2,2.2,2.3,2.2,2,2,2.1,2.1,2.2,2.2,2.3,2.3,2.4,2.3,2.3,2.4,2.4,2.4,2.5,2.4,2.6,2.6,2.8,3,3.2,3.1,3,3.1,3,2.9,3,2.8,2.8,2.7,-,-,-,-,-,-,-,-,-,-
56,Members of the EU after May 2004 (EU13),3.6,3.6,3.4,3.3,3.4,3.3,3.3,3.4,3.1,3.3,3.4,3.6,3.9,3.5,3.4,3.5,3.5,3.6,3.6,3.5,3,2.6,2.9,3.3,3.3,3.7,3.8,3.9,3.9,4.2,4.3,4.7,4.6,4.6,4.8,4.7,4.5,4.5,4.6,5.4,5.2,5.1,5.3,5,4.5,4.2,4.2,4.1,4.1,3.8,3.7,-,-,-,-,-,-,-,-,-,-
57,Commonwealth of Independent States,2.7,2.7,2.7,2.7,2.9,3,3.4,3.9,4.2,4.3,4.1,4.5,4.7,4.6,5,5,5.2,5.4,5.4,5.5,5.7,5.4,5.2,5,4.9,6,5.4,5.1,4.4,4.5,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
58,Central Asian Republics Information Network members (CARINFONET),1.7,1.7,1.9,2,1.9,1.9,2,1.9,1.8,1.7,1.7,1.4,1.5,1.6,2.3,2.3,2.8,2.9,2.8,2.9,3,1.4,1.6,1.4,1.5,2,3.2,3.3,3.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
59,South-eastern Europe Health Network members (SEEHN),2.3,2.3,2.2,2,2,2,1.9,1.9,1.9,2,2.1,2.4,2.6,2.2,2.4,2.8,3,3.4,3.9,3.5,2.4,2.5,2.8,3.1,3.1,3,2.9,2.6,2.9,3.1,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
60,Nordic countries,1.3,1.3,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.3,1.3,1.4,1.4,1.5,1.6,1.6,1.7,1.6,1.6,1.5,1.5,1.2,1.2,1.2,1.3,1.3,1.4,1.4,1.5,1.7,1.8,1.9,1.9,2,2.1,2.1,2.1,2.1,2.3,2.4,2.5,2.6,2.5,2.8,2.9,2.8,2.7,2.5,2.4,2.3,2.3,-,-,-,-,-,-,-,-,-,-
61,Small countries,2.9,2.9,2.8,2.8,2.8,2.8,2.6,2.5,2.8,2.9,2.9,2.8,3,2.9,2.9,2.9,3.5,2.8,3.1,2.7,2.5,2.4,2.4,2.4,2.5,2.7,2.6,2.7,2.9,2.8,2.7,2.7,2.9,2.7,2.7,2.6,2.5,2.5,2.5,2.6,2.7,2.8,2.7,2.7,2.6,2.6,2.4,2.6,2.5,2.5,2.4,-,-,-,-,-,-,-,-,-,-
