country,Deaths - Alcohol use disorders - Sex: Both - Age: All Ages (Number)
Tunisia,23.86282287645817
Turkey,228.80295191861592
Turkmenistan,177.02901180509917
USSR,
Uganda,224.2935498351149
Ukraine,10664.066216204332
United Arab Emirates,38.45021208445878
United Kingdom,1591.5783010842115
United States,9759.480872488728
United States Virgin Islands,10.141484296655785
Uruguay,85.3958098338352
Uzbekistan,551.1431085417296
Vanuatu,2.212519051403492
Venezuela,209.34446370169567
Vietnam,661.5505004193861
Wales,84.95377580344221
Wallis and Futuna,
West Germany (FRG),
Western Europe,15519.945656823955
Western Sahara,
Western Sub-Saharan Africa,2940.730941981668
World,167016.7406226343
World (excluding China),
Yemen,54.6403537601787
Yugoslavia,
Zaire,
Zambia,137.34391180058378
Zimbabwe,69.19423815397109
